,ParcelID,ActualYear,TotalFinis,SaleAmount,NumberBeds,year,month,year-month,price_SF,geometry,DISTRICTID,GEOID,ZONE
6200,052 001,1939,1104,54000,2,2023,9,2023-9,48.91304348,POINT (626540.349360958 1264600.1259789919),4,13073030503,R-A
6201,052 001A,1981,1680,575000,3,2020,6,2020-6,342.2619048,POINT (626707.4998411426 1265257.7270539622),4,13073030503,R-A
6217,052 002G,1995,2140,295000,3,2020,9,2020-9,137.8504673,POINT (632394.2252913258 1263142.5881339507),4,13073030503,R-A
6219,052 002I,1995,1687,200000,3,2019,11,2019-11,118.5536455,POINT (632685.8892562886 1263401.322266626),4,13073030503,R-A
6221,052 002K,1995,1588,158000,3,2019,5,2019-5,99.49622166,POINT (632709.5922796403 1263269.8178014227),4,13073030503,R-A
6229,052 004,1995,981,225000,1,2020,3,2020-3,229.3577982,POINT (633634.6098483017 1262760.1254635009),4,13073030503,R-A
6241,081 386,2023,3692,165000,5,2021,9,2021-9,44.69122427,POINT (680243.7472299144 1296687.1425013624),1,13073030107,PUD
6242,081 387,2023,3354,656900,5,2023,9,2023-9,195.8556947,POINT (680220.3984056473 1296588.2226014123),1,13073030107,PUD
6243,081 388,2015,2760,445000,4,2019,12,2019-12,161.2318841,POINT (680286.6643865765 1296524.0251143544),1,13073030107,PUD
6244,081 389,2015,3620,430000,5,2020,11,2020-11,118.7845304,POINT (680349.0239626899 1296498.7988740508),1,13073030107,PUD
6245,081 390,2015,2775,467500,4,2021,4,2021-4,168.4684685,POINT (680408.3221045688 1296473.542666665),1,13073030107,PUD
6246,081 391,2014,2848,559900,4,2022,7,2022-7,196.5941011,POINT (680462.1593134465 1296437.5801890935),1,13073030107,PUD
6248,081 393,2014,3024,490900,5,2022,3,2022-3,162.3346561,POINT (680567.2841718962 1296333.8195531238),1,13073030107,PUD
6251,081 396,2013,3103,599900,4,2022,9,2022-9,193.3290364,POINT (680737.692986118 1296190.5044623346),1,13073030107,PUD
6260,081 402,2016,3325,512500,4,2019,8,2019-8,154.1353383,POINT (681401.589626114 1296613.063339548),1,13073030107,PUD
6263,081 405,2018,3703,543068,5,2018,11,2018-11,146.6562247,POINT (681322.3242582114 1296417.7449458567),1,13073030107,PUD
6266,081 408,2019,3528,699000,4,2022,4,2022-4,198.1292517,POINT (681255.2858521575 1296218.5939456786),1,13073030107,PUD
6270,081 412,2019,3869,566000,5,2019,3,2019-3,146.2910313,POINT (681107.9423080767 1295948.977345186),1,13073030107,PUD
6272,081 414,2016,2922,489900,4,2020,3,2020-3,167.6591376,POINT (681245.4571466551 1295905.8930304023),1,13073030107,PUD
6274,081 416,2019,2967,525000,5,2021,8,2021-8,176.9464105,POINT (681360.4645400112 1295823.490039727),1,13073030107,PUD
6275,081 417,2016,3741,560000,4,2019,6,2019-6,149.6925956,POINT (681424.7810207568 1295769.812178476),1,13073030107,PUD
6276,081 418,2017,3514,499375,4,2018,9,2018-9,142.1101309,POINT (681541.1299693902 1295669.2989866396),1,13073030107,PUD
6279,081 421,2017,3711,625000,5,2020,6,2020-6,168.4182161,POINT (681543.9708644127 1296027.2338691966),1,13073030107,PUD
6280,081 422,2016,2847,585000,4,2023,5,2023-5,205.4794521,POINT (681563.5050048608 1296083.5001133683),1,13073030107,PUD
6281,081 423,2016,2688,445000,4,2018,2,2018-2,165.5505952,POINT (681622.4292694008 1296182.8859480545),1,13073030107,PUD
6282,081 424,2019,2793,479300,4,2019,2,2019-2,171.6075904,POINT (681557.6713476469 1296206.8241697566),1,13073030107,PUD
6283,081 425,2018,2638,408750,4,2018,3,2018-3,154.9469295,POINT (681500.8829727528 1296226.1913679657),1,13073030107,PUD
6285,081 427,2019,3105,563590,5,2019,4,2019-4,181.510467,POINT (681420.9145088944 1296132.1278779795),1,13073030107,PUD
6286,081 428,2017,3219,685000,4,2022,5,2022-5,212.7990059,POINT (681402.0004033041 1296075.6499982327),1,13073030107,PUD
6287,081 429,2018,2828,477900,4,2020,3,2020-3,168.9886846,POINT (681385.8932376453 1296006.6611482883),1,13073030107,PUD
6288,081 430,2018,1791,344423,3,2018,11,2018-11,192.3076494,POINT (681635.329437911 1295828.253735623),1,13073030107,PUD
6289,081 431,2015,2947,600000,4,2023,4,2023-4,203.5968782,POINT (681701.6394742534 1295901.9298357675),1,13073030107,PUD
6291,081 433,2018,3766,556900,5,2018,5,2018-5,147.8757302,POINT (681740.641238788 1296015.2863865306),1,13073030107,PUD
6292,081A066,1980,1908,225700,3,2018,5,2018-5,118.2914046,POINT (680729.2122302903 1291693.8432811662),1,13073030107,R-1
6297,081A071,1978,3000,355000,5,2021,5,2021-5,118.3333333,POINT (681124.2461776491 1292113.1361481766),1,13073030107,R-1
6299,081A073,1980,2351,260000,3,2021,10,2021-10,110.5912378,POINT (681437.1282264714 1291913.7924255608),1,13073030107,R-1
6307,081A078,2006,2042,288000,3,2022,12,2022-12,141.0381978,POINT (679355.6124913018 1290464.2087732188),1,13073030105,T-R
6310,081A081,2007,1983,240000,3,2021,11,2021-11,121.0287443,POINT (679271.204962015 1290337.0791946296),1,13073030105,T-R
6311,081A082,2007,1274,239900,2,2021,6,2021-6,188.3045526,POINT (679279.735835003 1290287.534335826),1,13073030105,T-R
6314,081A085,2006,2105,275900,3,2021,12,2021-12,131.0688836,POINT (679289.6972260907 1290148.725427782),1,13073030105,T-R
6315,081A086,2006,1282,227500,2,2021,6,2021-6,177.4570983,POINT (679292.9904350709 1290102.6846346052),1,13073030105,T-R
6320,081A091,2007,1983,275000,3,2021,11,2021-11,138.6787695,POINT (679328.9775186813 1289870.493302139),1,13073030105,T-R
6332,081A103,2007,1983,270000,3,2022,3,2022-3,136.1573374,POINT (678964.610694805 1289654.9892150753),1,13073030105,T-R
6335,081A106,2006,1282,215000,2,2022,3,2022-3,167.7067083,POINT (678845.8991505002 1289742.7389680115),1,13073030105,T-R
6336,081A107,2006,1919,210000,3,2019,12,2019-12,109.4319958,POINT (678816.6083179197 1289769.9754424319),1,13073030105,T-R
6338,081A109,2007,1706,209000,3,2021,2,2021-2,122.5087925,POINT (678742.5944026291 1289849.568748236),1,13073030105,T-R
6340,081A111,2007,1282,215000,3,2021,8,2021-8,167.7067083,POINT (678696.2900027297 1289916.3093381736),1,13073030105,T-R
6344,081B1136,2006,3820,399000,4,2020,11,2020-11,104.4502618,POINT (684088.210381491 1285396.9979598045),1,13073030108,PUD
6345,081B1137,2008,3402,625000,4,2023,3,2023-3,183.7154615,POINT (684057.7913453991 1285465.5527494182),1,13073030108,PUD
6347,081B1139,2023,3559,113000,4,2022,10,2022-10,31.75049171,POINT (683996.9523480308 1285602.6633564953),1,13073030108,PUD
6348,081B114,1974,2601,305000,4,2022,5,2022-5,117.2625913,POINT (688037.4082842839 1291075.0458714673),1,13073030108,R-2
6350,081B1141,2008,6656,860000,6,2023,5,2023-5,129.2067308,POINT (683920.8981614262 1285774.0606752073),1,13073030108,PUD
6353,081B1144,2005,3831,438400,5,2020,7,2020-7,114.4348734,POINT (684121.527710268 1285944.0621807252),1,13073030108,PUD
6354,081B1145,2004,3565,715000,4,2022,8,2022-8,200.5610098,POINT (684238.98132396 1285984.5427664449),1,13073030108,PUD
6358,081B1149,2006,4027,703000,5,2023,4,2023-4,174.5716414,POINT (684141.6612531685 1285750.238645446),1,13073030108,PUD
6359,081B115,1976,4230,615000,5,2018,7,2018-7,145.3900709,POINT (687401.7832176232 1291922.8644139105),1,13073030108,R-2
6365,081B1155,2006,3424,430000,4,2020,10,2020-10,125.5841121,POINT (684501.6788142748 1285703.4857831069),1,13073030108,PUD
6367,081B1157,2005,4023,415000,5,2019,10,2019-10,103.1568481,POINT (684593.6087035565 1285543.1794444418),1,13073030108,PUD
6372,081B1161,2004,4947,485000,5,2018,6,2018-6,98.03921569,POINT (684291.4086912373 1285399.1586766916),1,13073030108,PUD
6377,081B1166,2007,3204,525000,5,2021,7,2021-7,163.8576779,POINT (684452.3685503473 1285040.8400059578),1,13073030108,PUD
6380,081B1169,2005,3904,509000,5,2020,7,2020-7,130.3790984,POINT (684555.3657133402 1285128.341222462),1,13073030108,PUD
6381,081B117,1974,4805,445000,6,2019,4,2019-4,92.61186264,POINT (687204.7183617835 1291463.8826428603),1,13073030108,R-2
6395,081B418,1986,3850,685000,4,2022,5,2022-5,177.9220779,POINT (686012.1381445476 1289467.5180419686),1,13073030108,PUD
6405,081B428,1991,5225,1140000,5,2021,11,2021-11,218.1818182,POINT (686372.8709587685 1288379.5028987864),1,13073030108,PUD
6413,081B436,1989,3619,450000,4,2021,3,2021-3,124.3437414,POINT (685488.8782718821 1287786.3125900188),1,13073030108,PUD
6427,081B450,1989,3343,525000,4,2022,1,2022-1,157.0445707,POINT (685141.0919407962 1288947.9831249788),1,13073030108,PUD
6428,081B451,1985,4428,575000,4,2022,3,2022-3,129.8554652,POINT (685153.0190261196 1289073.326687514),1,13073030108,PUD
6431,081B454,1989,3712,585000,4,2018,7,2018-7,157.5969828,POINT (685034.925851802 1289476.0743176986),1,13073030108,PUD
6433,081B456,1985,2552,345000,4,2018,8,2018-8,135.1880878,POINT (685343.9866410837 1288893.7059357336),1,13073030108,PUD
6435,081B458,1984,3618,626000,5,2023,6,2023-6,173.02377,POINT (685302.0566084079 1288603.4234287885),1,13073030108,PUD
6437,081B460,1984,4004,362500,5,2019,10,2019-10,90.53446553,POINT (685179.1837436298 1288348.8286536238),1,13073030108,PUD
6440,081B808,1992,3271,340000,4,2019,5,2019-5,103.9437481,POINT (685421.7013666345 1286574.7167344652),1,13073030108,PUD
6444,081B815,1992,4408,345000,5,2020,7,2020-7,78.26678766,POINT (685515.9828805901 1286379.1240672176),1,13073030108,PUD
6445,081B816,1992,3852,389900,5,2020,7,2020-7,101.2201454,POINT (685612.3739466177 1286269.9085271147),1,13073030108,PUD
6449,081B820,2015,4661,684900,5,2018,11,2018-11,146.9427162,POINT (685978.8238346535 1286015.4028245772),1,13073030108,PUD
6452,081B823,1993,3177,495000,4,2020,10,2020-10,155.8073654,POINT (683080.9731656177 1290716.5787026521),1,13073030108,R-2
6460,081B831,1995,2479,475000,3,2022,8,2022-8,191.60952,POINT (682972.2503721805 1291306.9318505505),1,13073030108,R-2
6463,081B834,1995,3824,612000,4,2022,9,2022-9,160.041841,POINT (683265.2024165554 1291264.6080458926),1,13073030108,R-2
6465,081B836,1992,3505,685000,4,2022,8,2022-8,195.4350927,POINT (683372.3086277077 1291159.590890043),1,13073030108,R-2
6467,081B838,1992,3233,400000,3,2022,8,2022-8,123.7240953,POINT (683479.4139721867 1291054.5767721527),1,13073030108,R-2
6468,081B839,1992,3396,448000,4,2020,6,2020-6,131.9199058,POINT (683532.9665143564 1291002.0687738927),1,13073030108,R-2
6471,081B842,1992,2810,485000,4,2023,4,2023-4,172.5978648,POINT (683391.0383866507 1290868.590414513),1,13073030108,R-2
6472,081B843,1993,2651,390000,4,2021,7,2021-7,147.1142965,POINT (683341.6758931372 1290925.321791142),1,13073030108,R-2
6476,081B847,1995,2756,367500,3,2020,6,2020-6,133.3454282,POINT (683093.8394694957 1291058.3267100921),1,13073030108,R-2
6477,081B848,1994,2702,467500,3,2023,7,2023-7,173.0199852,POINT (683143.8601933789 1290976.848961586),1,13073030108,R-2
6484,081B856,1995,5131,850000,5,2021,6,2021-6,165.6597155,POINT (682786.8976692759 1290242.9169267868),1,13073030108,R-2
6487,081F003,1989,2482,292000,4,2020,7,2020-7,117.6470588,POINT (690178.6624335238 1286892.6622570334),1,13073030108,R-3
6491,081F007,1987,3618,450000,3,2020,8,2020-8,124.3781095,POINT (689508.4930278359 1287629.2577569264),1,13073030108,R-3
6497,081F013,1990,4363,525000,3,2022,10,2022-10,120.3300481,POINT (689514.3757687294 1288342.8030897467),1,13073030108,R-3
6508,081F024,1987,4129,545000,5,2020,9,2020-9,131.9932187,POINT (689235.5803810395 1287495.0073932263),1,13073030108,R-3
6522,081F038,1989,3447,200000,5,2020,8,2020-8,58.02146794,POINT (688772.8236685935 1287471.6597230767),1,13073030108,R-3
6523,081F039,1986,3461,435000,4,2021,4,2021-4,125.6862179,POINT (688688.7407839362 1287575.2009516032),1,13073030108,R-3
6524,081F040,1985,2584,367900,4,2021,2,2021-2,142.376161,POINT (688605.675560624 1287663.1730655152),1,13073030108,R-3
6528,081F044,1984,2826,469900,4,2023,7,2023-7,166.2774239,POINT (688797.6973236988 1287234.0670265295),1,13073030108,R-3
6536,082 131,2000,2973,276500,4,2020,9,2020-9,93.00369997,POINT (690251.5114911699 1284600.6472692078),1,13073030108,R-3
6544,082 139,2003,2212,231000,3,2020,6,2020-6,104.4303797,POINT (690432.516014499 1285092.1660952382),1,13073030108,R-3
6552,082 147,2003,2049,201900,4,2019,10,2019-10,98.53587116,POINT (685063.1196069821 1295331.7293578226),1,13073030107,R-2
6553,082 148,2006,2535,330000,4,2022,3,2022-3,130.1775148,POINT (685011.6424495406 1295248.6343170812),1,13073030107,R-2
6558,082 153,2000,2275,142500,4,2020,11,2020-11,62.63736264,POINT (684804.596677065 1295942.3952641927),1,13073030107,R-2
6561,082 156,2003,2212,220000,4,2018,5,2018-5,99.45750452,POINT (684561.4959339254 1295691.1529752922),1,13073030107,R-2
6576,082 171,2001,2285,250000,4,2020,4,2020-4,109.4091904,POINT (689606.8315866212 1284440.3810068122),1,13073030108,R-3
6577,082 172,2001,2917,286000,4,2020,11,2020-11,98.04593761,POINT (689601.9964698458 1284362.5889277628),1,13073030108,R-3
6583,082 178,2001,2641,295000,5,2020,11,2020-11,111.7001136,POINT (689806.6221183884 1283963.9155693073),1,13073030108,R-3
6585,H07 050,2006,2119,285000,3,2022,3,2022-3,134.4974044,POINT (605646.624418483 1242774.2300214597),4,13073030504,HARLEM
6587,H07 052,2007,2071,256500,3,2021,9,2021-9,123.853211,POINT (605489.1428953299 1242745.9483768113),4,13073030504,HARLEM
6593,H07 058,2007,2095,182500,4,2019,8,2019-8,87.11217184,POINT (605590.3390286778 1242606.7621371923),4,13073030504,HARLEM
6594,H07 059,2007,2380,254000,4,2021,6,2021-6,106.7226891,POINT (605669.0793381527 1242620.9026941557),4,13073030504,HARLEM
6595,H07 060,2007,2283,289000,4,2022,2,2022-2,126.587823,POINT (605747.8188348413 1242635.0442129867),4,13073030504,HARLEM
6596,H07 061,2007,2074,285000,3,2022,7,2022-7,137.415622,POINT (605826.5591788824 1242649.186421527),4,13073030504,HARLEM
6597,H07 062,2007,2588,313592,5,2022,5,2022-5,121.1715611,POINT (605905.2997626249 1242663.3258178139),4,13073030504,HARLEM
6608,H07 068,2015,3038,345900,5,2022,11,2022-11,113.8578012,POINT (605971.084139091 1242325.0893543921),4,13073030504,HARLEM
6609,H07 069,2015,1886,183900,4,2018,12,2018-12,97.50795334,POINT (605892.3396635648 1242310.9796807605),4,13073030504,HARLEM
6610,H07 070,2015,3406,271900,5,2020,9,2020-9,79.82971227,POINT (605813.5932486086 1242296.8708031646),4,13073030504,HARLEM
6611,H07 071,2015,2287,228900,4,2020,8,2020-8,100.0874508,POINT (605734.8461175372 1242282.7671699165),4,13073030504,HARLEM
6614,H07 074,2016,1886,298900,4,2023,7,2023-7,158.4835631,POINT (605493.6832300923 1242239.5711429424),4,13073030504,HARLEM
6615,H07 075,2016,1996,285000,3,2023,9,2023-9,142.7855711,POINT (605414.9364941634 1242225.4658075313),4,13073030504,HARLEM
6617,H07 077,2016,2595,303000,5,2022,8,2022-8,116.7630058,POINT (605257.446249198 1242197.2599904872),4,13073030504,HARLEM
6618,H07 078,2015,2555,232900,4,2020,6,2020-6,91.15459883,POINT (605207.6347318627 1242008.022785887),4,13073030504,HARLEM
6619,H07 079,2015,2125,194900,4,2018,2,2018-2,91.71764706,POINT (605286.3825490945 1242022.1251767592),4,13073030504,HARLEM
6620,H07 080,2016,2291,259000,4,2021,10,2021-10,113.0510694,POINT (605365.1292168592 1242036.228699166),4,13073030504,HARLEM
6622,H07 082,2016,2288,188200,4,2021,12,2021-12,82.25524476,POINT (605522.6248764973 1242064.432652808),4,13073030504,HARLEM
6625,H07 085,2015,2125,225000,4,2020,9,2020-9,105.8823529,POINT (605765.0084238343 1242107.8393933855),4,13073030504,HARLEM
6626,H07 086,2015,2273,270000,4,2021,9,2021-9,118.7857457,POINT (605843.7556392112 1242121.9406548848),4,13073030504,HARLEM
6628,H07 088,2015,1886,144000,4,2022,10,2022-10,76.35206787,POINT (606001.2493560145 1242150.1450614615),4,13073030504,HARLEM
6629,H07 089,2015,2269,229900,4,2020,9,2020-9,101.3221684,POINT (606079.9975530787 1242164.2476462403),4,13073030504,HARLEM
6688,060 2134,2023,3396,579900,5,2023,9,2023-9,170.7597173,POINT (644065.8745187437 1288015.7076813735),3,13073030304,R-2
6689,060 2135,2023,3939,87500,6,2023,3,2023-3,22.21375984,POINT (644002.9173329007 1288066.5342585887),3,13073030304,R-2
6690,060 2136,2023,3229,87500,5,2023,3,2023-3,27.09817281,POINT (643960.986555793 1288125.6104235237),3,13073030304,R-2
6691,060 2137,2023,3357,564900,5,2023,8,2023-8,168.2752458,POINT (643936.8993572618 1288201.2590054767),3,13073030304,R-2
6692,060 2138,2023,3669,85000,5,2023,4,2023-4,23.1670755,POINT (643901.1278800078 1288270.969192198),3,13073030304,R-2
6743,072M181,1994,2993,328500,4,2021,11,2021-11,109.7560976,POINT (664273.2846797815 1292539.1528808158),1,13073030311,R-2
6748,072M186,1994,3467,365000,5,2019,4,2019-4,105.2783386,POINT (664057.5392661239 1292564.0316880909),1,13073030311,R-2
6750,072M188,1993,3241,415000,5,2021,5,2021-5,128.0468991,POINT (664107.4702389741 1292793.3995541893),1,13073030311,R-2
6754,072M192,1992,3600,385000,5,2019,8,2019-8,106.9444444,POINT (664405.5197228305 1293065.7875657403),1,13073030311,R-2
6755,072M193,1991,2832,360000,4,2021,6,2021-6,127.1186441,POINT (664293.2114100293 1293084.635604081),1,13073030311,R-2
6759,072M197,1992,3458,490000,5,2023,6,2023-6,141.7004049,POINT (663886.0784910397 1292865.9429390153),1,13073030311,R-2
6760,072M198,1992,3005,313500,4,2018,6,2018-6,104.3261231,POINT (663928.3977219868 1292781.7479088847),1,13073030311,R-2
6771,072M210,1995,2896,394000,5,2021,10,2021-10,136.0497238,POINT (663162.5237384124 1292892.220287587),1,13073030311,R-2
6772,072M211,1994,2396,382500,4,2022,3,2022-3,159.6410684,POINT (662919.2623719281 1292985.2376857798),1,13073030311,R-2
6790,035A004,1959,1629,729900,3,2022,12,2022-12,448.0662983,POINT (617080.2433268562 1331840.434066328),3,13073030401,R-4
6807,039 048,2005,2280,161250,4,2020,10,2020-10,70.72368421,POINT (622039.7788495251 1284207.5928244751),4,13073030403,R-A
6815,039 048I,2005,1915,285000,3,2019,5,2019-5,148.8250653,POINT (624631.1339007537 1289491.655354217),4,13073030403,R-A
6817,039 048L,2020,2425,72000,3,2019,3,2019-3,29.69072165,POINT (623954.836621076 1289216.7555675532),4,13073030403,R-A
6826,039 052,1947,1496,85000,3,2019,6,2019-6,56.81818182,POINT (621851.1618998301 1282704.787035983),4,13073030403,R-A
6837,039 057E,2008,1650,389900,3,2021,11,2021-11,236.3030303,POINT (621967.0750632536 1281475.1846059149),4,13073030403,R-A
6842,039 057P,2016,5477,775000,5,2020,10,2020-10,141.5008216,POINT (620564.008383572 1282146.8736222498),4,13073030403,R-A
6850,039A029,2007,1800,280000,2,2022,3,2022-3,155.5555556,POINT (616804.1133169784 1284947.7557311605),4,13073030403,R-A
6852,039A031,1997,1392,175400,3,2019,5,2019-5,126.0057471,POINT (617044.5392089515 1285229.3895532687),4,13073030403,R-A
6867,039A047,1998,1583,198900,3,2020,3,2020-3,125.6475047,POINT (617155.5407546305 1286407.7502332693),4,13073030403,R-A
6869,039A049,1996,1628,235000,4,2020,11,2020-11,144.3488943,POINT (617040.079497368 1286044.1517797166),4,13073030403,R-A
6888,040 001J,1986,1972,204000,3,2019,7,2019-7,103.4482759,POINT (622645.4948666564 1276659.885037437),4,13073030403,R-A
6889,040 002,1979,2550,296000,4,2023,6,2023-6,116.0784314,POINT (621036.1659998025 1276108.2501100455),4,13073030403,R-A
6902,041 053,2007,4394,645000,3,2022,6,2022-6,146.7910787,POINT (623469.3750580117 1261517.0627269985),4,13073030503,R-A
6904,041 054,2013,2240,375900,4,2021,8,2021-8,167.8125,POINT (624504.9254151564 1261852.0417741176),4,13073030503,R-A
6905,041 055,1976,2024,347900,4,2023,6,2023-6,171.8873518,POINT (624623.371984455 1261571.5307576787),4,13073030503,R-A
6916,041 066,1981,2046,310000,3,2020,7,2020-7,151.5151515,POINT (624642.1316139983 1262933.592511991),4,13073030503,R-A
6923,041 073,1976,1680,180000,3,2018,9,2018-9,107.1428571,POINT (626335.435030741 1262408.1767839887),4,13073030503,R-A
6927,041 077,1973,2090,359000,3,2022,11,2022-11,171.7703349,POINT (626307.4451540936 1261519.150514852),4,13073030503,R-A
6938,041 083A,1992,2208,425000,3,2020,6,2020-6,192.4818841,POINT (622293.331825031 1258621.8776196581),4,13073030503,R-A
6949,042 111,1985,1560,25000,3,2019,6,2019-6,16.02564103,POINT (620506.0965637658 1249394.8580295432),4,13073030503,R-A
6961,042 116J,2019,2891,535077,4,2019,11,2019-11,185.0837081,POINT (621175.7447286573 1250189.2601290785),4,13073030503,R-A
6970,042 122,1986,1840,163000,3,2021,5,2021-5,88.58695652,POINT (622029.0051777055 1249304.4816391799),4,13073030503,R-A
6971,042 123,1978,1472,20000,3,2023,2,2023-2,13.58695652,POINT (621740.9336358693 1248873.003700197),4,13073030503,R-A
6990,042 134,1950,1463,62000,3,2021,3,2021-3,42.37867396,POINT (621423.7237670678 1248554.2331354779),4,13073030503,R-A
6992,042 136,1970,1716,231500,3,2021,10,2021-10,134.9067599,POINT (621507.3986137486 1249369.648021261),4,13073030503,R-A
6998,042 142,1970,1842,262000,4,2023,8,2023-8,142.2366992,POINT (620518.7262460752 1249021.53842758),4,13073030503,R-A
6999,052 1024,2018,2165,263000,4,2021,9,2021-9,121.47806,POINT (630371.756573438 1259107.8419367156),4,13073030503,R-2
7007,052 1031,2018,1818,193500,3,2018,5,2018-5,106.4356436,POINT (630516.3066524006 1258889.964628304),4,13073030503,R-2
7009,052 1033,2017,1841,290000,3,2022,9,2022-9,157.5230853,POINT (630468.0222431793 1258780.1076180057),4,13073030503,R-2
7010,052 1034,2018,1529,171900,3,2018,1,2018-1,112.4264225,POINT (630443.8817121402 1258725.1783463506),4,13073030503,R-2
7011,052 1035,2018,1922,297000,4,2022,6,2022-6,154.5265349,POINT (630423.9046557276 1258661.1973575691),4,13073030503,R-2
7012,052 1036,2018,2285,214900,4,2018,2,2018-2,94.04814004,POINT (630570.4461277346 1258593.3487996433),4,13073030503,R-2
7014,052 1038,2017,1770,240000,4,2021,9,2021-9,135.5932203,POINT (630623.6551886172 1258711.704132344),4,13073030503,R-2
7015,052 1039,2018,1944,300000,4,2023,9,2023-9,154.3209877,POINT (630647.7957339049 1258766.6333906339),4,13073030503,R-2
7019,052 1042,2017,1760,183900,3,2018,1,2018-1,104.4886364,POINT (630722.2343188005 1258935.9961607088),4,13073030503,R-2
7022,052 1045,2017,2325,290000,4,2021,9,2021-9,124.7311828,POINT (630970.918468262 1258955.0436352405),4,13073030503,R-2
7023,052 1046,2017,1672,238910,3,2021,9,2021-9,142.888756,POINT (630945.7702664842 1258897.825640568),4,13073030503,R-2
7026,052 1049,2018,1841,275000,3,2022,12,2022-12,149.3753395,POINT (630873.3416425192 1258733.0396347083),4,13073030503,R-2
7028,052 1050,2017,1595,269000,3,2023,5,2023-5,168.6520376,POINT (630849.20116141 1258678.1103675102),4,13073030503,R-2
7029,052 1051,2017,2016,273000,4,2021,7,2021-7,135.4166667,POINT (630824.1290771189 1258620.8351678685),4,13073030503,R-2
7032,052 1054,2018,2445,326000,4,2022,4,2022-4,133.3333333,POINT (630904.2973303605 1258504.966184703),4,13073030503,R-2
7033,052 1055,2018,1749,188500,3,2018,10,2018-10,107.7758719,POINT (630969.359408356 1258495.3198807663),4,13073030503,R-2
7035,052 1057,2018,1595,259000,3,2022,6,2022-6,162.3824451,POINT (631080.1501885193 1258463.4493927734),4,13073030503,R-2
7036,052 1058,2019,1820,275000,4,2022,12,2022-12,151.0989011,POINT (631135.1858785743 1258446.7958746515),4,13073030503,R-2
7037,052 1059,2018,1568,179750,3,2018,7,2018-7,114.6364796,POINT (631190.220896953 1258430.142383327),4,13073030503,R-2
7039,052 1060,2018,1584,177200,3,2018,8,2018-8,111.8686869,POINT (631247.648675903 1258412.765772667),4,13073030503,R-2
7040,052 1061,2019,1715,222400,3,2020,12,2020-12,129.6793003,POINT (631305.0781874243 1258395.3883561431),4,13073030503,R-2
7041,052 1062,2018,1768,199100,3,2018,12,2018-12,112.6131222,POINT (631362.5069018283 1258378.0104987663),4,13073030503,R-2
7042,052 1063,2018,1722,188895,4,2018,5,2018-5,109.695122,POINT (631419.9351782413 1258360.6332783601),4,13073030503,R-2
7043,052 1064,2018,1593,175500,3,2018,4,2018-4,110.1694915,POINT (631475.9137968277 1258338.27712377),4,13073030503,R-2
7045,052 1066,2020,3442,326500,5,2020,2,2020-2,94.85764091,POINT (633784.5712498745 1255888.7444451877),4,13073030503,GROVETOWN
7047,052 1370,2022,3528,394200,5,2022,3,2022-3,111.7346939,POINT (634788.8513705856 1259505.7510450326),4,13073030503,GROVETOWN
7048,052 1371,2022,3268,334690,5,2022,3,2022-3,102.4143207,POINT (634742.7134091101 1259459.9653125352),4,13073030503,GROVETOWN
7049,052 1372,2022,1768,279430,4,2022,2,2022-2,158.0486425,POINT (634696.5760306057 1259414.1797404399),4,13073030503,GROVETOWN
7050,052 1373,2022,2858,319830,5,2022,3,2022-3,111.9069279,POINT (634649.0785675823 1259363.7868111208),4,13073030503,GROVETOWN
7051,052 1374,2022,3268,337760,5,2022,3,2022-3,103.3537332,POINT (634587.809659332 1259282.438809831),4,13073030503,GROVETOWN
7052,052 1375,2022,1768,281100,4,2022,3,2022-3,158.9932127,POINT (634529.3270046957 1259343.4488743928),4,13073030503,GROVETOWN
7054,052 1377,2022,2860,318900,5,2022,2,2022-2,111.5034965,POINT (634584.0311607904 1259478.5983218967),4,13073030503,GROVETOWN
7055,052 1378,2022,3528,400130,5,2022,3,2022-3,113.4155329,POINT (634630.1690553868 1259524.3845561498),4,13073030503,GROVETOWN
7056,052 1379,2022,1788,279430,4,2022,2,2022-2,156.2807606,POINT (634676.3068045108 1259570.1697981707),4,13073030503,GROVETOWN
7059,052 1380,2022,2858,313330,5,2022,2,2022-2,109.6326102,POINT (634722.4441534841 1259615.9553992911),4,13073030503,GROVETOWN
7060,052 1381,2021,3268,323190,5,2021,11,2021-11,98.89534884,POINT (634768.5808640458 1259661.741330666),4,13073030503,GROVETOWN
7061,052 1382,2022,3540,383930,5,2022,2,2022-2,108.4548023,POINT (634814.718792635 1259707.5268549784),4,13073030503,GROVETOWN
7064,052 1385,2021,2846,371500,5,2022,6,2022-6,130.5340829,POINT (635001.635714406 1259759.251508076),4,13073030503,GROVETOWN
7073,052 1393,2022,1977,299430,4,2022,7,2022-7,151.4567527,POINT (634425.8063998449 1258709.8814109843),4,13073030503,GROVETOWN
7074,052 1394,2022,2727,325780,4,2022,8,2022-8,119.4646131,POINT (634379.8881294016 1258676.0255164127),4,13073030503,GROVETOWN
7075,052 1395,2022,2440,327980,5,2022,9,2022-9,134.4180328,POINT (634340.1531813814 1258645.6748268532),4,13073030503,GROVETOWN
7077,052 1397,2022,1395,259230,3,2022,7,2022-7,185.827957,POINT (634260.6847517574 1258584.9727147312),4,13073030503,GROVETOWN
7078,052 1398,2022,2727,329280,4,2022,8,2022-8,120.7480748,POINT (634220.9507832343 1258554.6212316635),4,13073030503,GROVETOWN
