,ParcelID,ActualYear,TotalFinis,SaleAmount,NumberBeds,year,month,year-month,price_SF,geometry,DISTRICTID,GEOID,ZONE
2037,083A013,2012,2581,320000,4,2020,4,2020-4,123.9829523,POINT (690375.3757015662 1283510.2767017132),1,13073030108,R-3
2040,083A016,2008,3273,505000,5,2021,7,2021-7,154.2926978,POINT (690115.0801537586 1283558.3693630002),1,13073030108,R-3
2041,083A017,2013,3006,365000,4,2020,7,2020-7,121.423819,POINT (690031.1779667378 1283549.4813519956),1,13073030108,R-3
2043,083A019,2006,2911,387000,4,2020,8,2020-8,132.9440055,POINT (690153.6104086026 1283391.5878412917),1,13073030108,R-3
2045,083A021,2012,3629,559000,5,2023,11,2023-11,154.0369248,POINT (690381.4544576578 1283429.4166805446),1,13073030108,R-3
2048,083A024,2006,3138,495000,3,2021,4,2021-4,157.7437859,POINT (690271.6632101985 1283215.4940326398),1,13073030108,R-3
2062,084 004D,2001,5261,1050000,4,2021,8,2021-8,199.5818285,POINT (693617.1562723588 1290699.681068492),1,13073030107,R-2
2064,084 004F,2005,4412,850000,5,2022,7,2022-7,192.6563917,POINT (693442.8051919478 1290907.147637053),1,13073030107,R-2
2070,084 004L,2003,4409,620000,5,2020,12,2020-12,140.6214561,POINT (693855.6649106584 1290887.6941907478),1,13073030107,R-2
2072,084A130,1999,3684,596400,5,2022,5,2022-5,161.8892508,POINT (691255.3432164253 1289546.109039261),1,13073030108,R-2
2076,084A134,2005,4765,850000,5,2020,5,2020-5,178.3840504,POINT (691618.2150972548 1290854.3070244053),1,13073030108,R-2
2088,084A146,2007,5289,835000,6,2021,7,2021-7,157.8748346,POINT (691741.9439020954 1290175.0271456218),1,13073030108,R-2
2122,G03 011,1983,1215,203200,3,2023,3,2023-3,167.2427984,POINT (647998.5494372126 1258963.534450229),4,13073030505,GROVETOWN
2126,G03 015,1992,1260,192000,3,2022,5,2022-5,152.3809524,POINT (647884.1985851628 1258584.339859892),4,13073030505,GROVETOWN
2129,G03 018,1984,1170,160007,3,2023,7,2023-7,136.7581197,POINT (647632.4282162301 1258442.4113883285),4,13073030505,GROVETOWN
2135,G03 024,1983,1365,205000,3,2022,11,2022-11,150.1831502,POINT (647208.078242705 1258536.06418429),4,13073030505,GROVETOWN
2138,G03 027,1983,1215,149000,3,2020,5,2020-5,122.6337449,POINT (647460.8840795046 1258554.2924647615),4,13073030505,GROVETOWN
2140,G03 029,1983,1487,125000,4,2022,5,2022-5,84.06186954,POINT (647609.4736667386 1258622.3162938196),4,13073030505,GROVETOWN
2142,G03 031,1994,1306,112000,3,2018,8,2018-8,85.75803982,POINT (647617.9194168453 1258766.5494528501),4,13073030505,GROVETOWN
2148,G07 020,1964,1292,45000,3,2023,10,2023-10,34.82972136,POINT (647423.8115543398 1255677.1347836403),4,13073030508,GROVETOWN
2149,G07 021,1965,1286,205500,3,2023,6,2023-6,159.7978227,POINT (647463.474673797 1255792.3677433452),4,13073030508,GROVETOWN
2153,G07 024,1985,1624,260000,3,2023,5,2023-5,160.0985222,POINT (646746.8177042665 1256040.6937674996),4,13073030508,GROVETOWN
